ITEM_NUM	ORDER_NUM	STOCK_NUM	MANU_CODE	QUANTITY	TOTAL_PRICE
1	1001	1	HRO	1	250
1	1002	4	HSK	1	960
1	1003	9	ANZ	1	20
1	1004	1	HRO	1	250
1	1005	5	NRG	10	280
1	1006	5	SMT	5	125
1	1007	1	HRO	1	250
1	1008	8	ANZ	1	840
1	1009	1	SMT	1	450
1	1010	6	SMT	1	36
1	1011	5	ANZ	5	99
1	1012	8	ANZ	1	840
1	1013	5	ANZ	1	19,8
1	1014	4	HSK	1	960
1	1015	1	SMT	1	450
1	1016	101	SHM	2	136
1	1017	201	NKL	4	150
1	1018	307	PRC	2	500
1	1019	111	SHM	3	1499,97
2	1002	3	HSK	1	240
2	1003	8	ANZ	1	840
2	1004	2	HRO	1	126
2	1005	5	ANZ	10	198
2	1006	5	NRG	5	140
2	1007	2	HRO	1	126
2	1008	9	ANZ	5	100
2	1010	6	ANZ	1	48
2	1012	9	ANZ	10	200
2	1013	6	SMT	1	36
2	1014	4	HRO	1	480
2	1016	109	PRC	3	90
2	1017	202	KAR	1	230
2	1018	302	KAR	3	15
3	1003	5	ANZ	5	99
3	1004	3	HSK	1	240
3	1005	6	SMT	1	36
3	1006	5	ANZ	5	99
3	1007	3	HSK	1	240
3	1013	6	ANZ	1	48
3	1016	110	HSK	1	308
3	1017	301	SHM	2	204
3	1018	110	PRC	1	236
4	1004	1	HSK	1	800
4	1005	6	ANZ	1	48
4	1006	6	SMT	1	36
4	1007	4	HRO	1	480
4	1013	9	ANZ	2	40
4	1016	114	PRC	1	120
4	1018	5	SMT	4	100
5	1006	6	ANZ	1	48
5	1007	7	HRO	1	600
5	1018	304	HRO	1	280
