ORDER_NUM	ORDER_DATE	CUSTOMER_NUM	SHIP_INSTRUCT	BACKLOG	PO_NUM	SHIP_DATE	SHIP_WEIGHT	SHIP_CHARGE	PAID_DATE
1001	20.05.1994	104	express	n	B77836	01.06.1994	20,4	10	22.07.1994
1002	21.05.1994	101	PO on box; deliver to back door only	n	9270	26.05.1994	50,6	15,3	03.06.1994
1003	22.05.1994	104	express	n	B77890	23.05.1994	35,6	10,8	14.06.1994
1004	22.05.1994	106	ring bell twice	y	8006	30.05.1994	95,8	19,2	
1005	24.05.1994	116	call before delivery	n	2865	09.06.1994	80,8	16,2	21.06.1994
1006	30.05.1994	112	after 10 am	y	Q13557		70,8	14,2	
1007	31.05.1994	117		n	278693	05.06.1994	125,9	25,2	
1008	07.06.1994	110	closed Monday	y	LZ230	06.07.1994	45,6	13,8	21.07.1994
1009	14.06.1994	111	next door to grocery	n	4745	21.06.1994	20,4	10	21.08.1994
1010	17.06.1994	115	deliver 776 King St. if no answer	n	429Q	29.06.1994	40,6	12,3	22.08.1994
1011	18.06.1994	104	express	n	B77897	03.07.1994	10,4	5	29.08.1994
1012	18.06.1994	117		n	278701	29.06.1994	70,8	14,2	
1013	22.06.1994	104	express	n	B77930	10.07.1994	60,8	12,2	31.07.1994
1014	25.06.1994	106	ring bell, kick door loudly	n	8052	03.07.1994	40,6	12,3	10.07.1994
1015	27.06.1994	110	closed Mondays	n	MA003	16.07.1994	20,6	6,3	31.08.1994
1016	29.06.1994	119	delivery entrance off Camp St.	n	PC6782	12.07.1994	35	11,8	
1017	09.07.1994	120	North side of clubhouse	n	DM354331	13.07.1994	60	18	
1018	10.07.1994	121	SW corner of Biltmore Mall	n	S22942	13.07.1994	70,5	20	06.08.1994
1019	11.07.1994	122	closed til noon Mondays	n	Z55709	16.07.1994	90	23	06.08.1994
